ticker,model,DM_stat,p_value,mean_diff
AAPL,LogHAR,-0.1306785778334103,0.44802539650778184,-0.00021059235636952846
AAPL,LevHAR,0.27894563722174776,0.6098334522849022,0.0011828906866770158
AAPL,SHAR,0.43225273235722045,0.6671835228924802,0.0008528258006120106
AAPL,HARQ,1.3150255277835643,0.9056276748016086,0.4723151089392224
AAPL,HAR-X,2.2750376811206134,0.988463047313076,0.0664283136481592
AAPL,RR,1.7760904709838792,0.9620183115804333,0.02934539839516565
AAPL,LA,-1.423987957233255,0.07735087274213746,-0.006846458100279901
AAPL,EN,-1.7666453603911396,0.03876691047195649,-0.008644179989690678
AAPL,P-LA,-1.670168337410142,0.04756932105035851,-0.009137658138427087
AAPL,A-LA,3.979079366706689,0.9999634026849401,0.5499738354216261
AAPL,BG,1.2690808048135753,0.8976747037347746,0.01271181110472991
AAPL,RF,1.2588428871603157,0.8958378925159219,0.015103649403720554
AAPL,GB,2.2583263470579467,0.9879506660795725,0.04818760489474844
AAPL,NN1_ensemble,3.34065198045809,0.9995696433317617,1.0034874762239323
AAPL,NN2_ensemble,3.3045544760398884,0.9995107610460366,1.574035051129506
AAPL,NN3_ensemble,2.2512770346813578,0.9877286739417382,1.2476578655586097
AAPL,NN4_ensemble,2.968889762921679,0.9984768766536586,1.1650984814163485
AMZN,LogHAR,-0.5334619356395884,0.29690476687211054,-0.0004909114932889532
AMZN,LevHAR,4.144708538843832,0.9999818315629355,0.02615838920132967
AMZN,SHAR,1.3870485158810364,0.9171617834452843,0.004796686825252343
AMZN,HARQ,1.0528285145145173,0.8536875641207698,0.24807930617265175
AMZN,HAR-X,4.206948791139252,0.9999861255903623,0.37359542529917045
AMZN,RR,3.632643762361327,0.999854000356902,0.19963345648318467
AMZN,LA,0.7939910155563329,0.7863236493362945,0.003268222215738498
AMZN,EN,0.689582085085524,0.7547069182846134,0.0029325754995989197
AMZN,P-LA,3.0667497789502267,0.9988945584426866,0.003542204595097681
AMZN,A-LA,5.520584087554325,0.9999999794403065,0.388901964923587
AMZN,BG,3.0148141008309643,0.9986881603652115,0.015921878781124124
AMZN,RF,2.720359523358374,0.9966938361316461,0.02000485825488575
AMZN,GB,3.756416263071846,0.9999098144275328,0.03699978797453722
AMZN,NN1_ensemble,2.1189572746676926,0.9828537035258561,1.1421265779036704
AMZN,NN2_ensemble,3.4328073588751242,0.9996914627577331,3.419311658669702
AMZN,NN3_ensemble,3.783124449811047,0.9999188676829154,3.8269904716965297
AMZN,NN4_ensemble,3.029761021700696,0.9987509107118915,1.6923119386445298
JPM,LogHAR,0.9671288072822117,0.8331658081584902,0.0033058190778091135
JPM,LevHAR,1.7367869341400215,0.9586633392801633,0.0066079714268235485
JPM,SHAR,1.945399353632536,0.9740235688784878,0.00678086106836233
JPM,HARQ,1.24170837538685,0.8927104083776423,0.0006512912416275482
JPM,HAR-X,3.0422778490402496,0.9988013306856947,0.0788013094149507
JPM,RR,2.26511737413786,0.9881612190959981,0.0333143187488031
JPM,LA,-0.6646396033564983,0.25320235564054183,-0.0038208714851503296
JPM,EN,-0.5314798490692151,0.29759078506955655,-0.003107596110915516
JPM,P-LA,-1.5141005464980841,0.06512769116352518,-0.008383489209732541
JPM,A-LA,2.6748788430851405,0.996212974462907,0.6809040018461375
JPM,BG,1.9707739445146935,0.975513973034025,0.023301555187310214
JPM,RF,1.2856746081109978,0.9006015576164909,0.020233469427860248
JPM,GB,0.1576773572985662,0.5626316321678133,0.0014067627746464336
JPM,NN1_ensemble,3.0227680513592032,0.9987219031417334,2.2453171651117394
JPM,NN2_ensemble,2.2526243315955976,0.9877713743046697,1.0998587470525398
JPM,NN3_ensemble,2.2158602526792475,0.986558868295655,0.3206341163189455
JPM,NN4_ensemble,2.7589876444393506,0.9970582872339091,1.30100056316524
