decile,A-LA,BG,EN,GB,HAR,HAR-X,HARQ,LA,LevHAR,LogHAR,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1,P-LA,RF,RR,SHAR
D1,5.300423063081088,0.5218863291893938,0.7821473951116871,1.0001069143923982,1.0,0.4245501077915231,0.8521803185490056,0.7909614447140785,0.8227477941747089,0.6771175505202878,0.5268775856959956,0.5068521410036627,0.5250856439900798,1.103988043296515,0.38510353027087124,0.4705766081641308,0.5702622118428632,2.51446972574234,0.4625392695518682,0.46707406879791347,0.42225422422152337,1.002317093325426
D10,0.7932197166511268,1.6018083322432572,1.0174927565799732,1.0776190310863745,1.0,1.1036238610874367,1.0451949238973965,1.0155705821082808,0.9734553233168173,0.9243030798119669,0.9359874768978361,0.926177984502556,0.9778077122387705,0.9841178013324428,1.0278478056116864,0.9092647081480986,0.9907481969323031,1.2090866504234452,1.1052724137499212,1.295323469611887,1.085134119316711,1.010929912141189
D2,4.043609545851456,1.0567514817839296,0.9756031337760802,0.9429384438843763,1.0,1.0317267352388608,0.8999805170759674,0.9812878568720669,0.8202183996299817,0.6993530353300684,0.8324819278084067,0.8059833154974053,0.8294634806923614,1.3056474122366695,0.6448442975520148,1.152958064929219,0.7462329847320665,2.171182830686953,0.7674368092658768,1.0429004624708675,0.9398829838631726,1.0043695536988058
D3,3.3465689501697735,1.3514620872997412,0.9340900814456425,0.8414451389340123,1.0,1.0138277378802847,0.9988369281195728,0.9380249877074638,0.8336097461195583,0.8287270061602356,0.882036097121551,0.8409323853707225,0.7865603889000687,1.29618601302568,0.7788394061927827,1.2285863220217657,0.6208954673460676,1.6353654886002638,0.7924077929483315,1.0171304886518349,0.935198949578823,1.014734756326314
D4,3.0197624095061837,2.3478501535203886,0.9054321001741847,0.8434044103606755,1.0,1.045353330955167,0.9823976875057805,0.9090028355679126,0.9326289010820272,0.7598037346366215,0.8655432991082903,0.8754223018473936,0.863473510926803,1.3277422149847082,0.6725676302334855,1.154993079570914,0.8357105366960971,1.502166443599707,0.7797881733889703,1.8809291044679415,1.0073881217415168,1.0129072600534201
D5,7.425680355345997,3.671013949885682,1.3551076766140797,1.2906057441120613,1.0,2.314964518207027,0.8684271994332686,1.3621381071795409,1.1583502121097742,0.6576575294036493,2.186414515212053,1.8765756807979461,1.8807953380909497,4.978280425055655,1.5085811393833235,3.697307029660631,1.7476897158554499,3.3385497919446414,1.1222663344653185,2.0375017362240917,2.0317428916974376,1.0018371812342362
D6,1.9975909769562072,0.5667394483246916,0.6423901839265699,0.6104956126931439,1.0,0.9098741398028021,1.0443182429113815,0.6439210648446213,1.1514272312221652,0.6776442312522318,0.7198242014393144,0.7599960270350813,0.5870983917161535,0.9128726389821151,0.5667330471129496,1.1799034085577664,0.4888366054145268,0.7758224153955485,0.6101923268836267,0.5286675132733585,0.8277280250811461,0.9884022009087462
D7,1.5635042636918315,0.9357687234793113,0.6891376459515681,1.12373836136091,1.0,1.2992405741144923,0.9890904681482079,0.6885020086267489,1.1749635939756051,0.692314582419458,0.575135105414104,0.7779562634936966,0.5570012616105138,0.9054895535945301,0.5424159840040874,0.6732424102961978,0.4124551251845753,0.5627635884088584,0.7519954571256618,0.6628395826360656,1.1211810480301676,0.9941644115045533
D8,3.596169697001285,2.162242104669541,1.006945700972337,0.7603484204762186,1.0,3.5490596822579534,1.260320581215055,0.9984686920215062,1.5501392601342827,1.4410310438878788,2.132462026122245,2.5335415385552764,1.7313691507902815,2.230268165053325,2.0295809844043533,3.049349922960949,1.6499989178864753,1.2203716725489664,1.4782363086132448,2.4644739784325966,3.2963119534016294,0.9682022342757453
D9,0.20221439008161757,0.9852575793821614,0.740038729951063,0.6486167901806013,1.0,1.445558690145818,1.1070570741792083,0.7357925576008935,1.0229424028020777,0.7949018741732211,0.865283200871969,0.9979496055471728,0.8323342634021952,0.7351596572753313,0.9328013787561411,1.2501188852448333,1.036696081447837,1.33184937147242,0.944043309918093,0.8073540416476132,1.2599623464440837,1.0017363623734385
