Model,DM stat,p-value,mean loss diff,ticker,bonferroni_significant,holm_significant,bh_fdr_significant
HAR,,,,AAPL,False,False,False
LogHAR,-1.8754822022128723,0.0306934442195577,-1.1186370257509626e-09,AAPL,False,False,False
LevHAR,-0.747807651884092,0.2274873799642028,-1.4258920498801862e-10,AAPL,False,False,False
SHAR,1.2457346800191285,0.8932383808249772,4.7737846217780085e-11,AAPL,False,False,False
HARQ,0.8406012906933099,0.7994865701406378,1.263824201001927e-10,AAPL,False,False,False
HAR-X,2.25378291672283,0.9876499425233172,9.188012149486723e-10,AAPL,False,False,False
RR,1.428339158905642,0.9230489558335389,4.902998711695019e-10,AAPL,False,False,False
LA,-1.1908512073596005,0.1171762890500251,-4.6131442201861215e-10,AAPL,False,False,False
EN,-1.2019220860870945,0.1150193650777416,-4.6238716842439785e-10,AAPL,False,False,False
P-LA,-1.0784759556799275,0.1407054688863828,-3.624776045828838e-10,AAPL,False,False,False
A-LA,4.3470653961088495,0.9999914260618684,5.896313168445129e-09,AAPL,False,False,False
BG,1.5566403471611332,0.9398633893646828,3.152005585786365e-09,AAPL,False,False,False
RF,1.3159401328583271,0.905561117101714,1.167922508607141e-09,AAPL,False,False,False
GB,-0.3992060661202671,0.3449673104030633,-1.448797942762082e-10,AAPL,False,False,False
NN1_ensemble,-0.8074147818968742,0.2099314100944927,-7.061646240055248e-10,AAPL,False,False,False
NN1_top1,-0.8927342307269782,0.1862431951628974,-6.253831615218228e-10,AAPL,False,False,False
NN2_ensemble,-0.8598061702030732,0.1951815249666789,-7.599042530862101e-10,AAPL,False,False,False
NN2_top1,0.742616025056495,0.7709452230368568,9.158533274129481e-10,AAPL,False,False,False
NN3_ensemble,-1.268828344925331,0.102585795431453,-7.948093901770399e-10,AAPL,False,False,False
NN3_top1,0.2397051294721617,0.5946648848889309,3.412007233628626e-10,AAPL,False,False,False
NN4_ensemble,-1.0646398924944147,0.1438107430849167,-8.454150740521668e-10,AAPL,False,False,False
NN4_top1,3.6102556654879847,0.9998294951571518,2.7517664921470323e-09,AAPL,False,False,False
HAR,,,,AMZN,False,False,False
LogHAR,0.4258271322149521,0.6647792208987353,1.3209898834733565e-10,AMZN,False,False,False
LevHAR,-0.5124019542718574,0.3043131258868278,-1.9363986367086208e-10,AMZN,False,False,False
SHAR,0.011814669523076,0.5047105901442823,2.3915177839109464e-12,AMZN,False,False,False
HARQ,1.1838249195498658,0.8814399618512576,3.945860074345684e-10,AMZN,False,False,False
HAR-X,1.8924228310120743,0.970455331009186,1.2542479226276134e-09,AMZN,False,False,False
RR,2.277080916254582,0.9883702297289796,1.6603392057572631e-09,AMZN,False,False,False
LA,-0.0388964834124113,0.4844952610231126,-1.81441605549857e-11,AMZN,False,False,False
EN,2.0045347740564585,0.9771881671772632,1.384108096937848e-09,AMZN,False,False,False
P-LA,2.3673451094311577,0.9908264903171156,1.7502889972084723e-09,AMZN,False,False,False
A-LA,2.9626223773553355,0.9983923627251352,3.568778032529605e-09,AMZN,False,False,False
BG,3.1685678249324067,0.999180766743672,3.899341891099167e-09,AMZN,False,False,False
RF,2.3022662237151,0.9891074363110912,1.883335691621305e-09,AMZN,False,False,False
GB,2.08638363751857,0.9812410806554864,1.4884885480096432e-09,AMZN,False,False,False
NN1_ensemble,1.0171472674836726,0.8451794651368062,7.018847805905843e-10,AMZN,False,False,False
NN1_top1,3.2593446772946977,0.9993984316056652,2.561784929705996e-09,AMZN,False,False,False
NN2_ensemble,0.7984205822205958,0.7874718939313635,4.577505337123687e-10,AMZN,False,False,False
NN2_top1,4.418849080656525,0.9999937479096966,3.839851490281187e-09,AMZN,False,False,False
NN3_ensemble,1.857521387662601,0.9680483135879976,1.5914319231392534e-09,AMZN,False,False,False
NN3_top1,3.144174416233356,0.9991109620434024,3.8459883558521884e-09,AMZN,False,False,False
NN4_ensemble,2.206374731110846,0.9860637446454136,2.000493440476985e-09,AMZN,False,False,False
NN4_top1,3.9211369921580577,0.9999489178561708,5.396170592631889e-09,AMZN,False,False,False
HAR,,,,JPM,False,False,False
LogHAR,-2.6973410042722863,0.0036287287104695,-1.2808602431526321e-09,JPM,False,False,False
LevHAR,1.899533999691434,0.9709267661614692,3.350431572670396e-10,JPM,False,False,False
SHAR,-0.000193704738551,0.4999227667857385,-9.931839797423169e-14,JPM,False,False,False
HARQ,3.1227006831010438,0.9990450138232012,2.1236472363232813e-09,JPM,False,False,False
HAR-X,1.222870611339211,0.8889841685793942,9.962696317449786e-10,JPM,False,False,False
RR,1.0213290798908088,0.8461707538112316,7.341866381327936e-10,JPM,False,False,False
LA,0.4334803152946882,0.6675610902477205,2.0351953082892308e-10,JPM,False,False,False
EN,1.1035826163974398,0.8648119736616547,5.662230539154735e-10,JPM,False,False,False
P-LA,-3.1746477625442107,0.0008026409898079,-1.3912390734241691e-10,JPM,False,False,False
A-LA,5.209417320438561,0.9999998543151112,5.74201296093918e-09,JPM,False,False,False
BG,1.6004222540497703,0.944889482823555,1.009032535698152e-09,JPM,False,False,False
RF,-0.9829106135126836,0.1630951814646483,-5.646832279555198e-10,JPM,False,False,False
GB,-2.7132862026289093,0.0034614075114394,-1.6554328862926547e-09,JPM,False,False,False
NN1_ensemble,-1.9719937783237955,0.0246173940614097,-1.0035511573256282e-09,JPM,False,False,False
NN1_top1,-1.3092645217657155,0.0955632530911743,-1.015999090179187e-09,JPM,False,False,False
NN2_ensemble,-2.233944246733587,0.0129936543690871,-1.3607448353768806e-09,JPM,False,False,False
NN2_top1,-2.142759814403398,0.0163395604353611,-1.2738185149329903e-09,JPM,False,False,False
NN3_ensemble,-2.171725878527165,0.0152043250173479,-1.2461445449211687e-09,JPM,False,False,False
NN3_top1,-0.5364577240205595,0.2959563742666742,-3.4726335441902675e-10,JPM,False,False,False
NN4_ensemble,-1.406587679007221,0.0801269845228556,-8.517917506938404e-10,JPM,False,False,False
NN4_top1,-1.7956928626542772,0.0366139113005876,-1.0697079376995846e-09,JPM,False,False,False
