ticker,horizon,estimator,MSE_HAR,MSE_LogHAR,n_test
AAPL,1,RV_5m,9.741870959485134e-09,9.251285608230716e-09,449
AAPL,1,RV_1m,8.444663057585484e-09,7.830337203715073e-09,449
AAPL,1,RK_5m,1.778600519346845e-08,1.7673556854944484e-08,449
AAPL,1,RK_1m,1.0626380564926747e-08,1.0244855340193977e-08,449
AAPL,5,RV_5m,7.047844100771987e-09,5.957800997412814e-09,449
AAPL,5,RV_1m,6.017983634072155e-09,5.034568385125991e-09,449
AAPL,5,RK_5m,1.0528207347050349e-08,9.050579313702175e-09,449
AAPL,5,RK_1m,7.263203498980313e-09,6.319683746268855e-09,449
AAPL,22,RV_5m,5.140350802951614e-09,3.5592461607328013e-09,445
AAPL,22,RV_1m,5.228137430202494e-09,3.461342204103812e-09,445
AAPL,22,RK_5m,5.924604085070066e-09,4.092112178535354e-09,445
AAPL,22,RK_1m,5.0533758048370425e-09,3.5076181758575065e-09,445
AMZN,1,RV_5m,1.5467376160657404e-08,1.554441589236309e-08,449
AMZN,1,RV_1m,1.0335120883557681e-08,1.0463259520683207e-08,449
AMZN,1,RK_5m,2.5350414396939e-08,2.5909936991712644e-08,449
AMZN,1,RK_1m,1.5429044312507048e-08,1.5685555249693044e-08,449
AMZN,5,RV_5m,9.18772165118113e-09,9.36949013554305e-09,449
AMZN,5,RV_1m,7.835550609971989e-09,8.005678079747006e-09,449
AMZN,5,RK_5m,1.0943408821372797e-08,1.1399592009488829e-08,449
AMZN,5,RK_1m,9.056260737861632e-09,9.413300039972657e-09,449
AMZN,22,RV_5m,4.58995286314823e-09,5.924978934534448e-09,445
AMZN,22,RV_1m,5.0593284745816295e-09,6.370254593329112e-09,445
AMZN,22,RK_5m,4.229266004119243e-09,5.6648711882317925e-09,445
AMZN,22,RK_1m,4.2839505991780104e-09,5.678545457476587e-09,445
JPM,1,RV_5m,6.579217029622504e-09,6.014013035472482e-09,449
JPM,1,RV_1m,4.6357803015708304e-09,4.282561140006027e-09,449
JPM,1,RK_5m,1.6886844132834566e-08,1.5029001308695346e-08,449
JPM,1,RK_1m,8.25205648083595e-09,7.516567268572679e-09,449
JPM,5,RV_5m,4.334954811271763e-09,2.970637702837777e-09,449
JPM,5,RV_1m,3.872237110709698e-09,2.762782814297866e-09,449
JPM,5,RK_5m,7.306269358042672e-09,4.6417933471544646e-09,449
JPM,5,RK_1m,4.919873515993209e-09,3.220015612003973e-09,449
JPM,22,RV_5m,4.7460145383802734e-09,2.9765949065718026e-09,445
JPM,22,RV_1m,5.2506026074139066e-09,3.4338504644764662e-09,445
JPM,22,RK_5m,5.215695803899483e-09,3.0807180284897272e-09,445
JPM,22,RK_1m,5.028388346066855e-09,2.9686435056760415e-09,445
