ticker,horizon,model,rank_corr_shap_vs_ale,top_shap_feature,top_ale_feature
AAPL,1,RF,0.7684210526315789,RVD,RVD_neg
AAPL,1,GB,0.6924439516255608,VIX,EPU
AAPL,5,RF,0.9175438596491228,VIX,VIX
AAPL,5,GB,0.8295267643839206,RVW,ADS
AAPL,22,RF,0.9315789473684211,ADS,ADS
AAPL,22,GB,0.9138854183890649,ADS,ADS
AMZN,1,RF,0.7228070175438598,RVD,RVD
AMZN,1,GB,0.38947368421052625,RVW,RVW
AMZN,5,RF,0.8421052631578947,RVW,RVD
AMZN,5,GB,0.7824561403508771,RVW,RVD
AMZN,22,RF,0.9631578947368421,ADS,ADS
AMZN,22,GB,0.9333333333333333,ADS,ADS
JPM,1,RF,0.6894736842105263,VIX,RVD_neg
JPM,1,GB,0.5096668679477478,IV,DVOL
JPM,5,RF,0.7228070175438598,IV,IV
JPM,5,GB,0.6485301194751775,VIX,VIX
JPM,22,RF,0.763157894736842,ADS,ADS
JPM,22,GB,0.8614035087719297,ADS,ADS
