feature,treeshap,ale_vi,model,ticker,horizon
RVD,0.055898541902659,0.030429539759647503,RF,AAPL,22
RVW,0.07219442399667154,0.07014842585015997,RF,AAPL,22
RVM,0.10458037989500962,0.10972355061538795,RF,AAPL,22
RVD_pos,0.03413671897488134,0.01882988661125938,RF,AAPL,22
RVD_neg,0.028946888421790856,0.030075375270680726,RF,AAPL,22
Rn_D,0.020144098332305314,0.021770149339602026,RF,AAPL,22
Rn_W,0.04044017458863497,0.028154184812558682,RF,AAPL,22
Rn_M,0.07298798438696423,0.03932436033675774,RF,AAPL,22
RQ_x_RV,0.005536559306885592,8.567783911094876e-05,RF,AAPL,22
RQ_lag,0.002070684466065544,0.0005737368999934384,RF,AAPL,22
IV,0.11246937601192702,0.08572244541002647,RF,AAPL,22
M1W,0.028537747774306413,0.030335503899072476,RF,AAPL,22
VIX,0.10548028922003402,0.07178275550144479,RF,AAPL,22
EPU,0.030165772024890295,0.02727649512314012,RF,AAPL,22
HSI,0.019810703531648495,0.023926613042412743,RF,AAPL,22
ADS,0.2260713886197605,0.3940386246903976,RF,AAPL,22
US3M,0.02709541660666738,0.01062010883173229,RF,AAPL,22
EA,0.0027038335295005277,0.0,RF,AAPL,22
DVOL,0.010729018409397405,0.007182566166615127,RF,AAPL,22
RVD,0.024718287982376474,0.01737863040753015,GB,AAPL,22
RVW,0.050632523946708675,0.030570765284697415,GB,AAPL,22
RVM,0.14708610778972814,0.048961864998382405,GB,AAPL,22
RVD_pos,0.020951761339452875,0.010893011462681738,GB,AAPL,22
RVD_neg,0.028060125211861908,0.0060927795776602265,GB,AAPL,22
Rn_D,0.02133796230581605,0.006224392554739651,GB,AAPL,22
Rn_W,0.037947606164764024,0.023232026267047196,GB,AAPL,22
Rn_M,0.058822910513435946,0.2224344697289341,GB,AAPL,22
RQ_x_RV,8.175064708647213e-05,0.0,GB,AAPL,22
RQ_lag,0.0005686806245277731,0.0,GB,AAPL,22
IV,0.05839656089244974,0.025083012916697876,GB,AAPL,22
M1W,0.029602173413138533,0.019234902620669427,GB,AAPL,22
VIX,0.10369872102437185,0.033118504535434606,GB,AAPL,22
EPU,0.06067108534990536,0.05087539132080683,GB,AAPL,22
HSI,0.026384448772618325,0.016998075204447557,GB,AAPL,22
ADS,0.3030659848305535,0.4596566255740679,GB,AAPL,22
US3M,0.012298468799753246,0.011663754156482416,GB,AAPL,22
EA,0.0,0.0,GB,AAPL,22
DVOL,0.015674840391451107,0.017581793389720445,GB,AAPL,22
