feature,EN,GB,HAR-X,LA,LogHAR,NN2_ensemble,NN4_ensemble,P-LA,RF
ADS,0.0,0.07132797410675905,0.007872125021842044,0.0,0.0,0.053089765620465725,0.06230667179746818,0.0,0.03871242677553349
DVOL,0.0007683458049600215,0.02850352683047412,0.014293921849097922,0.0,0.0,0.028759577557063418,0.05191477182806617,0.0,0.03189177589966526
EA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPU,0.033671322422056185,0.03767618015595699,0.050110665482057545,0.0021214972776362525,0.0,0.10713642164188646,0.11987496291713792,0.0,0.009074330450765482
HSI,0.014186243232524407,0.01384040176963835,0.04672746092837512,0.0,0.0,0.09257740685927529,0.06144498613471507,0.0,0.02214224429511818
IV,0.190684830463082,0.14685115290135978,0.10638581746674798,0.1569589862060466,0.0,0.2318909631200796,0.14929524978959985,0.06667989600676248,0.21418188228284407
M1W,0.0,0.036192146115500465,0.009127698723097134,0.0,0.0,0.043114851456720074,0.032832494794689276,0.0,0.03362359833877314
RVD,0.3822841766420652,0.1070669866027946,0.3164684119094637,0.4780148492492054,0.5458391729357173,0.04018419790553983,0.081122840596485,0.5539370921599758,0.20405861738750727
RVM,0.016881913684120266,0.21626994358842666,0.08140336821825474,0.0,0.1297883313008853,0.025862880134187718,0.05344999645586778,0.0,0.023355895321073027
RVW,0.3569308083486577,0.1247291316585254,0.2496976882419641,0.3629046672671112,0.3243724957633975,0.18579681906862855,0.13725093268997318,0.3127031158264992,0.18324342505876565
US3M,0.00450822960392607,0.024695018145125532,0.011527027757796907,0.0,0.0,0.04531079373876303,0.08444750089989848,0.0,0.00959642437736873
VIX,8.412979860812179e-05,0.1928475381254391,0.10638581440130285,6.047066087357639e-16,0.0,0.1462763228973903,0.16605959209609908,0.06667989600676262,0.23011937981258573
